filename,time,position,hotel_name,price,rating,is_ad,participant_id,device_model,android_version,screen_width,screen_height
1763813326435_540.jpg,2025-11-22T13:08:46.435000,2,Rydges Sydney Central,737.0,8.2,True,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400
1763813326435_540.jpg,2025-11-22T13:08:46.435000,3,Falcon Lodge,140.0,7.2,False,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400
1763908782027_555.jpg,2025-11-23T15:39:42.027000,1,Stanley Lane Residence Darlinghurst,789.0,8.5,False,0e37ec0f-78f2-48f2-ab07-14f8ffd9b642,CROSSCALL Trekker-X4,28 (P) 9,1080,1798
1763908782027_555.jpg,2025-11-23T15:39:42.027000,2,Little National Hotel Sydney,526.0,9.1,False,0e37ec0f-78f2-48f2-ab07-14f8ffd9b642,CROSSCALL Trekker-X4,28 (P) 9,1080,1798
1763910250219_567.jpg,2025-11-23T16:04:10.219000,1,Stanley Lane Residence Darlinghurst,789.0,8.5,False,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457
1763910250219_567.jpg,2025-11-23T16:04:10.219000,2,Rydges Camperdown,620.0,7.8,True,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457
1763910250219_567.jpg,2025-11-23T16:04:10.219000,3,Little National Hotel Sydney,,,False,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457
1763994867896_574.jpg,2025-11-24T15:34:27.896000,1,The Pacific House,301.0,8.3,False,739a55c0-bb91-4066-898b-783475d44d11,Xiaomi 23113RKC6C,36 (VANILLA_ICE_CREAM) 16,1440,3200
1763994867896_574.jpg,2025-11-24T15:34:27.896000,2,Falcon Lodge,140.0,7.2,False,739a55c0-bb91-4066-898b-783475d44d11,Xiaomi 23113RKC6C,36 (VANILLA_ICE_CREAM) 16,1440,3200
1763994867896_574.jpg,2025-11-24T15:34:27.896000,3,The Jensen Potts Point,275.0,7.9,False,739a55c0-bb91-4066-898b-783475d44d11,Xiaomi 23113RKC6C,36 (VANILLA_ICE_CREAM) 16,1440,3200
