filename,time,participant_id,device_model,android_version,screen_width,screen_height,rank,product_name,price,rating,review_count
1763810736334_522.jpg,2025-11-22T12:25:36.334000,0e37ec0f-78f2-48f2-ab07-14f8ffd9b642,CROSSCALL Trekker-X4,28 (P) 9,1080,1798,1,Nintendo Switch 2 + Mario Kart World,454.9,4.6,2300
1763810736334_522.jpg,2025-11-22T12:25:36.334000,0e37ec0f-78f2-48f2-ab07-14f8ffd9b642,CROSSCALL Trekker-X4,28 (P) 9,1080,1798,2,Nintendo Console Switch & Super Mario Party Jamboree,310.58,,
1763810736334_522.jpg,2025-11-22T12:25:36.334000,0e37ec0f-78f2-48f2-ab07-14f8ffd9b642,CROSSCALL Trekker-X4,28 (P) 9,1080,1798,3,Rayman Legends Definitive Edition,,,
1763810736334_522.jpg,2025-11-22T12:25:36.334000,0e37ec0f-78f2-48f2-ab07-14f8ffd9b642,CROSSCALL Trekker-X4,28 (P) 9,1080,1798,4,Tiebreak+ Ace Edition,,,
1763811992309_533.jpg,2025-11-22T12:46:32.309000,739a55c0-bb91-4066-898b-783475d44d11,Xiaomi 23113RKC6C,36 (VANILLA_ICE_CREAM) 16,1440,3200,1,"Nintendo Switch (OLED) Portable Game Console 17.8 cm (7"") 64 GB Touchscreen WiFi White",354.95,4.6,3300
1763811992309_533.jpg,2025-11-22T12:46:32.309000,739a55c0-bb91-4066-898b-783475d44d11,Xiaomi 23113RKC6C,36 (VANILLA_ICE_CREAM) 16,1440,3200,2,Nintendo Switch 2 + Mario Kart World,454.9,4.6,2200
1763811992309_533.jpg,2025-11-22T12:46:32.309000,739a55c0-bb91-4066-898b-783475d44d11,Xiaomi 23113RKC6C,36 (VANILLA_ICE_CREAM) 16,1440,3200,3,Nintendo Switch Lite Azul,196.09,4.7,1800
1763813256894_537.jpg,2025-11-22T13:07:36.894000,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,1,Nintendo Switch 2 + Mario Kart World,454.9,4.6,2300
1763813256894_537.jpg,2025-11-22T13:07:36.894000,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,2,Nintendo Switch Lite Azul,196.09,4.7,1800
1763813256894_537.jpg,2025-11-22T13:07:36.894000,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,3,Rayman Legends - Definitive,,,
1763813256894_537.jpg,2025-11-22T13:07:36.894000,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,4,,,,
1763908699982_552.jpg,2025-11-23T15:38:19.982000,0e37ec0f-78f2-48f2-ab07-14f8ffd9b642,CROSSCALL Trekker-X4,28 (P) 9,1080,1798,1,Nintendo Switch 2 + Mario Kart World,454.9,4.6,2300
1763908699982_552.jpg,2025-11-23T15:38:19.982000,0e37ec0f-78f2-48f2-ab07-14f8ffd9b642,CROSSCALL Trekker-X4,28 (P) 9,1080,1798,2,Nintendo Switch Neon + Animal Crossing,310.25,4.8,9
1763910196395_565.jpg,2025-11-23T16:03:16.395000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,1,"Nintendo Switch (OLED) Portable Game Console 17.8 cm (7"") 64 GB Touchscreen WiFi White",354.95,4.6,3300
1763910196395_565.jpg,2025-11-23T16:03:16.395000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,2,Nintendo Switch 2 + Mario Kart World,454.9,4.6,2300
1764162783003_589.jpg,2025-11-26T14:13:03.003000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,1,"Nintendo Switch (OLED) Portable Game Console 17.8 cm (7"") 64 GB Touchscreen WiFi White",299.0,4.6,3300
1764162783003_589.jpg,2025-11-26T14:13:03.003000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,2,Nintendo Switch 2 + Mario Kart World,454.9,4.5,2300
1764164817702_603.jpg,2025-11-26T14:46:57.702000,0e37ec0f-78f2-48f2-ab07-14f8ffd9b642,CROSSCALL Trekker-X4,28 (P) 9,1080,1798,1,Nintendo Switch 2 + Mario Kart World,454.9,4.5,2300
