filename,time,participant_id,device_model,android_version,screen_width,screen_height,rank,product_name,price
1763631387133_455.jpg,2025-11-20T10:36:27.133000,0e37ec0f-78f2-48f2-ab07-14f8ffd9b642,CROSSCALL Trekker-X4,28 (P) 9,1080,1798,1,Chambre Lit King-Size,450.0
1763720449335_477.jpg,2025-11-21T11:20:49.335000,0e37ec0f-78f2-48f2-ab07-14f8ffd9b642,CROSSCALL Trekker-X4,28 (P) 9,1080,1798,1,Chambre Lit King-Size,447.0
1763720563123_481.jpg,2025-11-21T11:22:43.123000,c19c02da-47fa-4c0a-8ee1-acde0de0b4a2,Xiaomi 23113RKC6C,36 (VANILLA_ICE_CREAM) 16,1440,3200,1,Chambre Lit King-Size,450.0
1763720563123_481.jpg,2025-11-21T11:22:43.123000,c19c02da-47fa-4c0a-8ee1-acde0de0b4a2,Xiaomi 23113RKC6C,36 (VANILLA_ICE_CREAM) 16,1440,3200,2,Chambre Lit King-Size avec Douche,
1763721820563_495.jpg,2025-11-21T11:43:40.563000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,1,Chambre Lit King-Size,447.0
1763721820563_495.jpg,2025-11-21T11:43:40.563000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,2,Chambre Lit King-Size avec Douche Accessible en Fauteuil Roulant - Adaptée,
1763722363896_500.jpg,2025-11-21T11:52:43.896000,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,1,Chambre Lit King-Size,447.0
1763722363896_500.jpg,2025-11-21T11:52:43.896000,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,2,Chambre Lit King-Size avec Douche Accessible en Fauteuil Roulant - Adaptée aux Personnes à Mobilité Réduite,
1763809384274_516.jpg,2025-11-22T12:03:04.274000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,1,Chambre Lit King-Size,469.0
1763810910240_529.jpg,2025-11-22T12:28:30.240000,0e37ec0f-78f2-48f2-ab07-14f8ffd9b642,CROSSCALL Trekker-X4,28 (P) 9,1080,1798,1,Chambre Lit King-Size,469.0
1763813439788_545.jpg,2025-11-22T13:10:39.788000,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,1,Chambre Lit King-Size,469.0
1763813439788_545.jpg,2025-11-22T13:10:39.788000,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,2,Chambre Lit King-Size avec Douche Accessible en Fauteuil Roulant - Adaptée aux Personnes à Mobilité Réduite,
1763908902046_560.jpg,2025-11-23T15:41:42.046000,0e37ec0f-78f2-48f2-ab07-14f8ffd9b642,CROSSCALL Trekker-X4,28 (P) 9,1080,1798,1,Chambre Lit King-Size,461.0
1763908902046_560.jpg,2025-11-23T15:41:42.046000,0e37ec0f-78f2-48f2-ab07-14f8ffd9b642,CROSSCALL Trekker-X4,28 (P) 9,1080,1798,2,Chambre Lit King-Size - Étage Supérieur,
1763910325601_570.jpg,2025-11-23T16:05:25.601000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,1,Chambre Lit King-Size,461.0
1763910325601_570.jpg,2025-11-23T16:05:25.601000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,2,Chambre Lit King-Size - Étage Supérieur,
1764163006100_597.jpg,2025-11-26T14:16:46.100000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,1,Chambre Lit King-Size,478.0
1764163006100_597.jpg,2025-11-26T14:16:46.100000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,2,Chambre Lit King-Size - Étage Supérieur,
1764164951989_609.jpg,2025-11-26T14:49:11.989000,0e37ec0f-78f2-48f2-ab07-14f8ffd9b642,CROSSCALL Trekker-X4,28 (P) 9,1080,1798,1,Chambre Lit King-Size,478.0
1764164951989_609.jpg,2025-11-26T14:49:11.989000,0e37ec0f-78f2-48f2-ab07-14f8ffd9b642,CROSSCALL Trekker-X4,28 (P) 9,1080,1798,2,Chambre Lit King-Size - Étage Supérieur,
1764166416612_614.jpg,2025-11-26T15:13:36.612000,1f3b7cb8-df82-4259-85d7-ded487a42a5e,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,1,Chambre Lit King-Size,478.0
1764166416612_614.jpg,2025-11-26T15:13:36.612000,1f3b7cb8-df82-4259-85d7-ded487a42a5e,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,2,Chambre Lit King-Size - Étage Supérieur,
1764166584708_622.jpg,2025-11-26T15:16:24.708000,739a55c0-bb91-4066-898b-783475d44d11,Xiaomi 23113RKC6C,36 (VANILLA_ICE_CREAM) 16,1440,3200,1,Chambre Lit King-Size,478.0
1764166584708_622.jpg,2025-11-26T15:16:24.708000,739a55c0-bb91-4066-898b-783475d44d11,Xiaomi 23113RKC6C,36 (VANILLA_ICE_CREAM) 16,1440,3200,2,Chambre Lit King-Size - Étage Supérieur,
1764234517897_639.jpg,2025-11-27T10:08:37.897000,0e37ec0f-78f2-48f2-ab07-14f8ffd9b642,CROSSCALL Trekker-X4,28 (P) 9,1080,1798,1,Chambre Lit King-Size,476.0
